Polluted element,Type of pollution,California_Los-Angeles,California_Springfield,Illinois_Champaign,Illinois_Chicago,Illinois_San Francisco
Soil,Chemical,91.34,-92.60,8.62,-62.99,-18.11
,Inferior Irrigation,85.90,32.20,3.46,-71.56,-28.86
,Inorganic Fertilizers,83.29,22.46,1.26,-80.69,-30.17
,Solid Waste,90.93,34.65,6.36,-65.72,-25.24
,Surface water,90.43,39.68,16.52,79.10,-13.31
Water,Groundwater,-37.51,-93.55,7.09,65.05,-19.44
,Industrial,-40.54,33.50,5.65,59.18,-28.56
,Inorganic Fertilizers,-34.34,-82.38,19.13,-48.32,-13.65
,Oxygen-depletion,-38.54,-90.17,9.33,-61.75,-19.87
,Urban Activities,85.02,30.18,2.40,56.22,99.30
