Characteristic,Intensity,2015_Florida_Reno,2015_Maryland_Aberdeen,2015_Maryland_Tampa,2015_Nevada_Las Vegas,2016_Florida_Fort Lauderdale,2016_Maryland_Boulder City,2016_Nevada_Columbia
Humidity,,14.83,4.24,6.37,27.41,11.76,22.38,8.20
,  Breeze,9.39,4.24,6.37,26.38,0.71,22.38,7.49
,  Calm,14.83,2.32,0.64,27.41,11.76,20.86,8.20
,  Medium,3.20,0.45,3.21,17.77,8.13,18.80,6.51
Wind,,15.39,5.17,5.97,26.32,13.77,21.62,10.93
,  High,13.10,1.06,4.62,26.32,9.52,19.68,7.92
,  Medium,15.39,5.17,3.89,7.07,13.77,21.25,10.93
,  Storm,13.05,3.88,5.97,26.11,12.25,21.62,8.92
Maximum,,15.39,5.17,6.37,27.41,13.77,22.38,10.93
,  ,15.39,5.17,6.37,27.41,13.77,22.38,10.93
