Polluted element,Type of pollution,Florida_Champaign,Florida_Tampa,Illinois_Chicago,Illinois_Fort Lauderdale
Average,,8.56,-45.49,-22.48,1.86
,  ,8.56,-45.49,-22.48,1.86
Air,,42.30,-44.24,-19.58,19.21
,  Groundwater,68.36,10.09,-28.47,50.96
,  Noise,-47.95,-96.95,-12.21,54.03
,  Oxygen-depletion,84.29,-94.90,-1.64,-70.43
,  Surface water,64.50,4.80,-35.99,42.28
Water,,-25.19,-46.73,-25.39,-15.48
,  Chemical,-61.13,6.58,-32.06,-82.65
,  Light,-55.58,-98.06,-23.17,51.73
,  Oxygen-depletion,-65.50,0.34,-42.29,42.82
,  Thermal,81.46,-95.79,-4.05,-73.83
