Quarter,Month,Culture_Apartment,Culture_Concert,Culture_Museum,Residential_Hotel,Residential_House,Residential_Theatre,Minimum,State,City
Q2,,19.25,93.11,48.52,4.42,29.86,64.60,4.42,,
,  April,19.44,95.43,56.04,8.88,39.56,67.64,8.88,California,Detroit
,  November,19.25,93.11,48.52,4.42,29.86,64.60,4.42,California,Berkeley
,  October,23.10,98.32,58.34,18.15,44.95,84.52,18.15,California,Malibu
Q4,,18.65,86.00,46.55,4.01,26.14,59.55,4.01,,
,  December,21.57,93.47,52.80,7.06,33.91,66.29,7.06,Michigan,Malibu
,  May,23.03,96.32,57.96,10.32,41.25,75.01,10.32,Michigan,Berkeley
,  October,18.65,86.00,46.55,4.01,26.14,59.55,4.01,Michigan,Detroit
Minimum,,18.65,86.00,46.55,4.01,26.14,59.55,4.01,,
,  ,18.65,86.00,46.55,4.01,26.14,59.55,4.01,,
