Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,November,1.94
Residential,House,Q2,December,1.32
Residential,House,Q1,April,3.93
Residential,House,Q4,May,6.73
Residential,House,Q2,February,9.5
Residential,House,Q1,March,9.46
Residential,House,Q4,January,9.01
Residential,House,Q2,November,11.63
Residential,House,Q1,December,13.86
Culture,Hotel,Q4,November,14.93
Culture,Hotel,Q2,December,15.59
Culture,Hotel,Q1,April,18.44
Culture,Hotel,Q4,May,19.86
Culture,Hotel,Q2,February,21.75
Culture,Hotel,Q1,March,23.84
Culture,Hotel,Q4,January,34.87
Culture,Hotel,Q2,November,35.51
Culture,Hotel,Q1,December,37.57
Residential,Apartment,Q4,November,37.61
Residential,Apartment,Q2,December,45.3
Residential,Apartment,Q1,April,46.02
Residential,Apartment,Q4,May,47.68
Residential,Apartment,Q2,February,49.79
Residential,Apartment,Q1,March,49.37
Residential,Apartment,Q4,January,55.5
Residential,Apartment,Q2,November,59.34
Residential,Apartment,Q1,December,59.13
Culture,Theatre,Q4,November,61.76
Culture,Theatre,Q2,December,59.88
Culture,Theatre,Q1,April,64.86
Culture,Theatre,Q4,May,65.28
Culture,Theatre,Q2,February,64.68
Culture,Theatre,Q1,March,67.57
Culture,Theatre,Q4,January,67.43
Culture,Theatre,Q2,November,69.75
Culture,Theatre,Q1,December,70.33
Residential,Museum,Q4,November,71.78
Residential,Museum,Q2,December,74.78
Residential,Museum,Q1,April,75.86
Residential,Museum,Q4,May,76.76
Residential,Museum,Q2,February,76.29
Residential,Museum,Q1,March,76.57
Residential,Museum,Q4,January,77.24
Residential,Museum,Q2,November,80.13
Residential,Museum,Q1,December,81.86
Culture,Concert,Q4,November,80.47
Culture,Concert,Q2,December,83.75
Culture,Concert,Q1,April,87.01
Culture,Concert,Q4,May,88.22
Culture,Concert,Q2,February,92.74
Culture,Concert,Q1,March,94.35
Culture,Concert,Q4,January,97.31
Culture,Concert,Q2,November,98.79
Culture,Concert,Q1,December,99.83
