Polluted element,Type of pollution,Florida_Aberdeen,Florida_Fort Lauderdale,Maryland_Baltimore,Maryland_Tampa,Average
Air,Chemical,-58.92,26.86,-26.47,47.87,-2.67
,Industrial,-49.32,30.14,-7.54,-73.59,-25.08
,Oxygen-depletion,64.13,18.57,97.89,-81.04,24.89
,Thermal,60.20,3.15,86.14,-90.97,14.63
Soil,Inferior Irrigation,79.51,-99.98,-19.31,49.95,2.54
,Light,-65.32,11.65,95.05,-84.53,-10.79
,Surface water,-60.94,26.90,-28.51,49.56,-3.25
,Thermal,84.40,35.07,-4.88,58.19,43.20
Water,Groundwater,68.58,20.55,-30.83,48.84,26.79
,Inorganic Fertilizers,74.99,28.93,-25.28,51.10,32.43
,Noise,-68.71,7.53,-35.11,42.55,-13.43
,Solid Waste,83.09,31.12,-6.60,58.13,41.44
