Polluted element,Type of pollution,Georgia_Columbus_2022,Georgia_Springfield_2022,Illinois_Albany_2017,Illinois_Chicago_2017,Illinois_Redmond_2017,Oregon_Champaign_2019,Oregon_Salem_2019,Oregon_Washington_2019,Average
Air,,-42.84,-36.46,-31.89,21.61,18.77,-54.24,-8.92,-11.92,-18.24
,  Chemical,-41.50,50.70,-32.69,21.66,-70.98,-97.70,-52.64,-10.41,-29.20
,  Inferior Irrigation,-48.63,-84.87,-35.23,17.25,56.27,27.50,-54.50,-17.40,-17.45
,  Light,-38.39,-75.22,-27.76,25.93,71.01,-92.53,80.38,-7.94,-8.06
Soil,,-45.95,-41.37,49.45,17.33,-27.13,-55.65,30.20,-16.27,-11.17
,  Noise,-48.79,51.89,97.12,22.13,64.29,-96.16,74.88,-9.00,19.55
,  Oxygen-depletion,-43.02,-83.22,93.80,18.93,-70.71,-97.19,-56.58,-16.95,-31.87
,  Solid Waste,-46.03,-92.77,-42.56,10.94,-74.97,26.41,72.30,-22.86,-21.19
Water,,43.58,-81.85,52.06,17.51,16.86,-11.71,34.09,-13.00,7.19
,  Surface water,86.88,-81.69,92.63,17.89,58.65,32.91,76.73,-12.04,33.99
,  Thermal,-39.67,-78.37,99.66,24.52,-63.83,-94.84,-48.02,-8.96,-26.19
,  Urban Activities,83.52,-85.48,-36.12,10.12,55.75,26.80,73.57,-18.00,13.77
Average,,-15.07,-53.23,23.21,18.82,2.83,-40.53,18.46,-13.73,-7.41
,  ,-15.07,-53.23,23.21,18.82,2.83,-40.53,18.46,-13.73,-7.41
