Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,May,0.87
Production,Factory,Q4,April,2.92
Production,Factory,Q2,November,7.62
Production,Factory,Q4,October,16.63
Residential,Workshop,Q2,May,28.46
Residential,Workshop,Q4,April,39.78
Residential,Workshop,Q2,November,43.8
Residential,Workshop,Q4,October,47.95
Production,House,Q2,May,55.33
Production,House,Q4,April,55.56
Production,House,Q2,November,60.09
Production,House,Q4,October,65.9
Residential,Apartment,Q2,May,65.07
Residential,Apartment,Q4,April,68.82
Residential,Apartment,Q2,November,68.97
Residential,Apartment,Q4,October,88.19
Production,Hotel,Q2,May,88.27
Production,Hotel,Q4,April,92.03
Production,Hotel,Q2,November,94.09
Production,Hotel,Q4,October,97.22
