Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Calm,1.25
2020,Humidity,Storm,2.68
2020,Temperature,Breeze,3.24
2020,Wind,Low,4.21
2020,Humidity,High,5.2
2020,Temperature,Medium,6.03
2020,Wind,21-30,7.3
2020,Humidity,0-10,7.22
2020,Temperature,11-20,9.43
2016,Wind,Calm,3.0
2016,Humidity,Storm,11.74
2016,Temperature,Breeze,12.69
2016,Wind,Low,8.69
2016,Humidity,High,11.62
2016,Temperature,Medium,15.49
2016,Wind,21-30,16.47
2016,Humidity,0-10,10.81
2016,Temperature,11-20,18.29
2015,Wind,Calm,19.13
2015,Humidity,Storm,18.32
2015,Temperature,Breeze,21.85
2015,Wind,Low,19.94
2015,Humidity,High,24.91
2015,Temperature,Medium,26.82
2015,Wind,21-30,6.58
2015,Humidity,0-10,6.73
2015,Temperature,11-20,7.8
