Characteristic,Intensity,2016_California_Rochester,2016_Florida_Fort Lauderdale,2016_Minnesota_Hastings,2016_Minnesota_Los-Angeles,2020_California_San Francisco,2020_Florida_Berkeley,2020_Florida_Minneapolis,2020_Minnesota_Tampa
Humidity,,15.44,22.17,1.83,16.48,24.26,19.06,8.40,21.05
,  Breeze,15.44,22.17,0.29,16.48,2.86,19.06,8.40,21.05
,  High,12.18,17.47,0.63,9.18,24.26,5.86,5.48,18.41
,  Medium,13.12,17.04,1.83,14.49,5.82,18.66,7.77,18.32
Wind,,16.49,25.92,5.60,16.93,26.77,22.40,11.39,23.22
,  Calm,16.49,23.68,5.60,16.09,9.97,22.40,11.39,23.22
,  Low,12.20,25.92,1.94,3.78,26.77,18.73,7.27,17.10
,  Storm,15.10,19.92,1.98,16.93,7.42,18.75,9.19,21.78
Maximum,,16.49,25.92,5.60,16.93,26.77,22.40,11.39,23.22
,  ,16.49,25.92,5.60,16.93,26.77,22.40,11.39,23.22
