Characteristic,Intensity,2015_Illinois_Boston,2015_Illinois_Springfield,2021_Massachusetts_Cambridge,2021_Massachusetts_Chicago,2021_Massachusetts_Lenox
Humidity,,16.78,27.75,5.42,16.41,26.13
,  21-30,6.39,24.73,2.86,14.16,20.21
,  Calm,16.78,13.34,3.45,0.01,26.13
,  Low,13.13,27.75,5.42,16.41,17.15
Temperature,,16.88,21.86,6.32,18.21,23.49
,  0-10,13.16,5.84,3.69,3.55,22.66
,  Breeze,16.88,13.26,6.32,18.21,23.49
,  Calm,10.13,21.86,1.42,14.79,15.51
Wind,,15.90,27.38,5.28,17.71,20.52
,  31-40,12.30,24.52,3.75,14.45,20.52
,  Breeze,9.36,27.38,0.77,14.70,18.85
,  Medium,15.90,7.50,5.28,17.71,18.30
Maximum,,16.88,27.75,6.32,18.21,26.13
,  ,16.88,27.75,6.32,18.21,26.13
