Polluted element,Type of pollution,California_Cambridge_2022,California_Lenox_2016,California_Los-Angeles_2016,Massachusetts_Berkeley_2020,Massachusetts_Boston_2015
Air,Industrial,-1.73,-18.82,11.56,-18.83,-48.47
,Noise,58.00,-24.01,6.35,-27.03,13.65
,Solid Waste,52.41,-21.48,5.96,36.45,-48.94
Soil,Chemical,-66.14,-21.85,9.48,-86.74,-50.53
,Inferior Irrigation,-64.21,-15.70,15.11,-84.20,19.54
,Thermal,58.67,-23.10,9.56,-23.14,11.57
Water,Inorganic Fertilizers,65.48,-14.05,17.86,-81.87,20.93
,Oxygen-depletion,63.75,-16.97,11.69,-86.10,-46.75
,Urban Activities,-1.86,43.93,11.73,44.36,11.31
Average,,18.26,-12.45,11.03,-36.34,-13.08
