State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
California,Malibu,2022,Air,Noise,3.66
California,Malibu,2022,Soil,Thermal,4.0
California,Malibu,2022,Water,Light,12.54
California,Malibu,2022,Air,Inorganic Fertilizers,12.35
California,Malibu,2022,Soil,Industrial,14.23
California,Malibu,2022,Water,Urban Activities,18.33
California,Malibu,2022,Air,Solid Waste,20.0
California,Malibu,2022,Soil,Surface water,23.31
California,Malibu,2022,Water,Groundwater,29.06
California,Malibu,2022,Air,Oxygen-depletion,30.38
California,Malibu,2022,Soil,Noise,35.78
California,Malibu,2022,Water,Thermal,36.8
Georgia,Berkeley,2018,Air,Noise,37.3
Georgia,Berkeley,2018,Soil,Thermal,41.1
Georgia,Berkeley,2018,Water,Light,43.04
Georgia,Berkeley,2018,Air,Inorganic Fertilizers,43.55
Georgia,Berkeley,2018,Soil,Industrial,49.38
Georgia,Berkeley,2018,Water,Urban Activities,52.04
Georgia,Berkeley,2018,Air,Solid Waste,58.3
Georgia,Berkeley,2018,Soil,Surface water,59.73
Georgia,Berkeley,2018,Water,Groundwater,60.64
Georgia,Berkeley,2018,Air,Oxygen-depletion,59.02
Georgia,Berkeley,2018,Soil,Noise,62.4
Georgia,Berkeley,2018,Water,Thermal,64.66
Florida,Los-Angeles,2022,Air,Noise,66.89
Florida,Los-Angeles,2022,Soil,Thermal,67.25
Florida,Los-Angeles,2022,Water,Light,67.79
Florida,Los-Angeles,2022,Air,Inorganic Fertilizers,69.3
Florida,Los-Angeles,2022,Soil,Industrial,68.54
Florida,Los-Angeles,2022,Water,Urban Activities,66.86
Florida,Los-Angeles,2022,Air,Solid Waste,75.12
Florida,Los-Angeles,2022,Soil,Surface water,81.03
Florida,Los-Angeles,2022,Water,Groundwater,84.28
Florida,Los-Angeles,2022,Air,Oxygen-depletion,87.22
Florida,Los-Angeles,2022,Soil,Noise,88.71
Florida,Los-Angeles,2022,Water,Thermal,97.48
California,Washington,2018,Air,Noise,99.02
California,Washington,2018,Soil,Thermal,99.22
California,Washington,2018,Water,Light,-98.3
California,Washington,2018,Air,Inorganic Fertilizers,-98.8
California,Washington,2018,Soil,Industrial,-96.22
California,Washington,2018,Water,Urban Activities,-92.58
California,Washington,2018,Air,Solid Waste,-91.19
California,Washington,2018,Soil,Surface water,-89.52
California,Washington,2018,Water,Groundwater,-88.23
California,Washington,2018,Air,Oxygen-depletion,-88.18
California,Washington,2018,Soil,Noise,-87.43
California,Washington,2018,Water,Thermal,-87.26
Georgia,Columbus,2022,Air,Noise,-82.55
Georgia,Columbus,2022,Soil,Thermal,-81.66
Georgia,Columbus,2022,Water,Light,-75.79
Georgia,Columbus,2022,Air,Inorganic Fertilizers,-73.17
Georgia,Columbus,2022,Soil,Industrial,-72.96
Georgia,Columbus,2022,Water,Urban Activities,-70.45
Georgia,Columbus,2022,Air,Solid Waste,-64.51
Georgia,Columbus,2022,Soil,Surface water,-62.76
Georgia,Columbus,2022,Water,Groundwater,-59.37
Georgia,Columbus,2022,Air,Oxygen-depletion,-59.28
Georgia,Columbus,2022,Soil,Noise,-59.22
Georgia,Columbus,2022,Water,Thermal,-55.04
Florida,Fort Lauderdale,2018,Air,Noise,-53.94
Florida,Fort Lauderdale,2018,Soil,Thermal,-50.93
Florida,Fort Lauderdale,2018,Water,Light,-48.13
Florida,Fort Lauderdale,2018,Air,Inorganic Fertilizers,-46.62
Florida,Fort Lauderdale,2018,Soil,Industrial,-45.3
Florida,Fort Lauderdale,2018,Water,Urban Activities,-43.19
Florida,Fort Lauderdale,2018,Air,Solid Waste,-41.87
Florida,Fort Lauderdale,2018,Soil,Surface water,-39.5
Florida,Fort Lauderdale,2018,Water,Groundwater,-39.39
Florida,Fort Lauderdale,2018,Air,Oxygen-depletion,-34.57
Florida,Fort Lauderdale,2018,Soil,Noise,-33.05
Florida,Fort Lauderdale,2018,Water,Thermal,-32.64
California,Tampa,2022,Air,Noise,-31.69
California,Tampa,2022,Soil,Thermal,-30.05
California,Tampa,2022,Water,Light,-30.57
California,Tampa,2022,Air,Inorganic Fertilizers,-23.98
California,Tampa,2022,Soil,Industrial,-23.13
California,Tampa,2022,Water,Urban Activities,-13.7
California,Tampa,2022,Air,Solid Waste,-12.04
California,Tampa,2022,Soil,Surface water,-9.85
California,Tampa,2022,Water,Groundwater,-6.0
California,Tampa,2022,Air,Oxygen-depletion,-4.28
California,Tampa,2022,Soil,Noise,-3.64
California,Tampa,2022,Water,Thermal,-2.7
