Polluted element,Type of pollution,Florida_Cambridge,Florida_Tampa,Massachusetts_Flint,Massachusetts_Fort Lauderdale,Massachusetts_Lenox,Michigan_Boston,Michigan_Port Huron
Air,,77.30,-53.71,1.50,-19.48,15.84,41.24,-77.32
,  Chemical,85.61,-42.33,-94.96,-15.16,21.13,45.07,-73.03
,  Groundwater,60.12,-65.56,93.00,-30.35,4.47,36.01,-82.68
,  Industrial,82.02,-58.68,0.14,-18.97,14.82,36.79,-78.36
,  Light,66.94,-63.48,98.13,-25.64,6.08,37.40,-82.59
,  Noise,91.83,-38.49,-88.80,-7.26,32.72,50.91,-69.92
Soil,,79.57,-52.32,-16.36,-16.50,17.32,43.99,-76.33
,  Groundwater,86.99,-41.78,-91.22,-9.30,22.43,44.23,-71.92
,  Light,91.97,-32.22,-88.44,-4.46,33.60,54.13,-68.72
,  Solid Waste,76.08,-65.73,98.77,-24.22,10.78,40.80,-82.49
,  Thermal,59.69,-65.00,95.19,-27.88,3.54,37.14,-82.57
,  Urban Activities,83.13,-56.86,-96.08,-16.65,16.27,43.64,-75.94
Water,,73.55,-55.99,8.46,-20.21,13.66,39.74,-79.19
,  Chemical,59.04,-69.94,93.18,-30.32,3.68,34.30,-87.76
,  Inferior Irrigation,84.23,-47.23,-95.97,-15.37,18.19,43.77,-75.14
,  Inorganic Fertilizers,76.84,-58.12,37.45,-18.67,11.60,41.67,-80.44
,  Noise,63.13,-64.94,98.14,-27.77,6.60,38.32,-81.99
,  Thermal,84.53,-39.72,-90.50,-8.91,28.23,40.66,-70.64
Average,,76.81,-54.01,-2.13,-18.73,15.61,41.66,-77.61
,  ,76.81,-54.01,-2.13,-18.73,15.61,41.66,-77.61
