Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q1,February,3.62
Service,Library,Q3,January,4.93
Service,Library,Q4,March,5.18
Service,Library,Q1,July,8.61
Service,Library,Q3,August,9.63
Service,Library,Q4,September,20.94
Service,Library,Q1,November,24.53
Service,Library,Q3,October,28.43
Service,Library,Q4,December,30.47
Residential,Hospital,Q1,February,37.21
Residential,Hospital,Q3,January,41.42
Residential,Hospital,Q4,March,41.78
Residential,Hospital,Q1,July,45.58
Residential,Hospital,Q3,August,53.32
Residential,Hospital,Q4,September,54.11
Residential,Hospital,Q1,November,56.54
Residential,Hospital,Q3,October,57.17
Residential,Hospital,Q4,December,62.07
Service,Hotel,Q1,February,62.29
Service,Hotel,Q3,January,64.55
Service,Hotel,Q4,March,65.96
Service,Hotel,Q1,July,66.01
Service,Hotel,Q3,August,70.45
Service,Hotel,Q4,September,73.49
Service,Hotel,Q1,November,73.33
Service,Hotel,Q3,October,75.57
Service,Hotel,Q4,December,78.64
Residential,House,Q1,February,79.32
Residential,House,Q3,January,84.91
Residential,House,Q4,March,86.67
Residential,House,Q1,July,87.66
Residential,House,Q3,August,89.26
Residential,House,Q4,September,91.58
Residential,House,Q1,November,92.71
Residential,House,Q3,October,94.42
Residential,House,Q4,December,95.53
