Polluted element,Type of pollution,Georgia_Cambridge_2019,Georgia_Columbus_2019,Massachusetts_Boston_2018,Massachusetts_Washington_2018
Average,,14.94,-5.35,-7.09,7.02
,  ,14.94,-5.35,-7.09,7.02
Air,,47.65,-5.38,-17.30,-22.17
,  Chemical,81.38,-93.23,-11.26,-74.18
,  Groundwater,-38.63,38.80,-5.38,-60.08
,  Inferior Irrigation,72.80,6.80,-29.82,-5.44
,  Thermal,75.07,26.10,-22.75,51.03
Soil,,-19.75,-7.58,10.52,19.43
,  Industrial,-57.31,4.01,90.90,40.15
,  Light,-48.57,34.20,-14.83,-78.82
,  Oxygen-depletion,84.35,-91.56,-6.87,65.97
,  Solid Waste,-57.48,23.03,-27.12,50.42
Water,,16.91,-3.10,-14.49,23.80
,  Industrial,-37.64,-89.34,-3.65,69.52
,  Noise,-51.75,27.29,-17.13,-77.83
,  Surface water,83.77,34.88,-9.61,60.89
,  Urban Activities,73.27,14.78,-27.57,42.62
