Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Florida,Tampa,Humidity,High,0.57
2017,Florida,Tampa,Wind,Medium,1.4
2017,Florida,Tampa,Humidity,Breeze,1.93
2017,Florida,Tampa,Wind,Storm,1.42
2017,Florida,Tampa,Humidity,Calm,4.62
2017,Florida,Tampa,Wind,High,0.41
2021,Massachusetts,Fort Lauderdale,Humidity,High,6.08
2021,Massachusetts,Fort Lauderdale,Wind,Medium,7.71
2021,Massachusetts,Fort Lauderdale,Humidity,Breeze,6.58
2021,Massachusetts,Fort Lauderdale,Wind,Storm,9.92
2021,Massachusetts,Fort Lauderdale,Humidity,Calm,9.14
2021,Massachusetts,Fort Lauderdale,Wind,High,11.68
2017,Illinois,Boston,Humidity,High,12.03
2017,Illinois,Boston,Wind,Medium,12.78
2017,Illinois,Boston,Humidity,Breeze,12.52
2017,Illinois,Boston,Wind,Storm,15.42
2017,Illinois,Boston,Humidity,Calm,16.02
2017,Illinois,Boston,Wind,High,15.77
2021,Florida,Cambridge,Humidity,High,18.58
2021,Florida,Cambridge,Wind,Medium,12.99
2021,Florida,Cambridge,Humidity,Breeze,14.72
2021,Florida,Cambridge,Wind,Storm,21.09
2021,Florida,Cambridge,Humidity,Calm,13.29
2021,Florida,Cambridge,Wind,High,23.28
2017,Massachusetts,Lenox,Humidity,High,16.1
2017,Massachusetts,Lenox,Wind,Medium,23.34
2017,Massachusetts,Lenox,Humidity,Breeze,21.75
2017,Massachusetts,Lenox,Wind,Storm,27.52
2017,Massachusetts,Lenox,Humidity,Calm,28.0
2017,Massachusetts,Lenox,Wind,High,27.7
2021,Illinois,Springfield,Humidity,High,4.82
2021,Illinois,Springfield,Wind,Medium,6.6
2021,Illinois,Springfield,Humidity,Breeze,7.4
2021,Illinois,Springfield,Wind,Storm,8.66
2021,Illinois,Springfield,Humidity,Calm,0.7
2021,Illinois,Springfield,Wind,High,10.69
2017,Florida,Chicago,Humidity,High,10.44
2017,Florida,Chicago,Wind,Medium,1.03
2017,Florida,Chicago,Humidity,Breeze,11.03
2017,Florida,Chicago,Wind,Storm,3.71
2017,Florida,Chicago,Humidity,Calm,16.48
2017,Florida,Chicago,Wind,High,5.71
