Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Humidity,Medium,4.09
2016,Wind,High,5.85
2016,Temperature,Low,6.78
2016,Humidity,Calm,7.12
2016,Wind,Storm,8.27
2016,Temperature,21-30,9.08
2016,Humidity,11-20,27.83
2016,Wind,0-10,11.71
2016,Temperature,Medium,11.77
2019,Humidity,Medium,16.76
2019,Wind,High,18.27
2019,Temperature,Low,19.24
2019,Humidity,Calm,18.08
2019,Wind,Storm,21.56
2019,Temperature,21-30,22.83
2019,Humidity,11-20,23.41
2019,Wind,0-10,25.41
2019,Temperature,Medium,27.66
