Characteristic,Intensity,2018_Oregon_Portland,2018_Oregon_Washington,2020_Georgia_Boulder City,2020_Georgia_Redmond,2021_Nevada_Albany,2021_Nevada_Las Vegas,Maximum
Humidity,,21.84,24.09,15.29,15.31,27.46,6.37,27.46
,  21-30,20.21,19.80,12.05,13.58,24.92,3.71,24.92
,  Calm,21.84,24.09,15.29,15.31,25.03,6.37,25.03
,  High,19.62,15.72,9.17,10.46,27.46,0.59,27.46
Temperature,,22.68,25.51,14.49,16.98,27.17,6.00,27.17
,  31-40,21.13,22.19,13.87,13.83,24.29,4.16,24.29
,  High,22.68,25.51,14.49,16.98,25.88,6.00,25.88
,  Medium,19.34,19.65,10.99,4.10,27.17,0.25,27.17
Wind,,23.20,26.46,17.62,13.32,27.66,7.17,27.66
,  Low,20.88,20.14,11.59,12.78,27.66,2.70,27.66
,  Medium,23.20,26.46,17.62,4.53,9.32,7.17,26.46
,  Storm,21.01,21.56,14.82,13.32,27.34,4.19,27.34
Maximum,,23.20,26.46,17.62,16.98,27.66,7.17,27.66
,  ,23.20,26.46,17.62,16.98,27.66,7.17,27.66
