Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Low,0.25
2017,Temperature,High,2.04
2017,Wind,Medium,3.34
2017,Humidity,0-10,5.72
2017,Temperature,11-20,6.27
2017,Wind,Storm,5.87
2017,Humidity,Calm,10.76
2017,Temperature,Breeze,11.56
2017,Wind,Low,12.17
2019,Humidity,Low,17.44
2019,Temperature,High,19.23
2019,Wind,Medium,20.91
2019,Humidity,0-10,20.82
2019,Temperature,11-20,22.01
2019,Wind,Storm,22.52
2019,Humidity,Calm,21.42
2019,Temperature,Breeze,25.78
2019,Wind,Low,27.85
