Polluted element,Type of pollution,Maryland_Aberdeen_2020,Maryland_Rochester_2017,Minnesota_Columbia_2022,Minnesota_Minneapolis_2019,Average
Air,Inorganic Fertilizers,-17.76,59.11,-51.30,12.46,0.63
,Light,-9.47,64.96,-44.79,25.11,8.95
,Oxygen-depletion,-2.57,-61.33,90.14,35.77,15.50
,Surface water,99.84,-82.87,-56.48,8.67,-7.71
Soil,Chemical,-10.66,67.60,87.12,-95.12,12.23
,Inferior Irrigation,-19.71,-76.66,-53.43,11.18,-34.66
,Noise,-10.82,-68.32,-45.75,21.24,-25.91
,Oxygen-depletion,-32.00,-91.27,-59.46,8.10,-43.66
Water,Chemical,-36.36,36.78,-59.21,0.48,-14.58
,Groundwater,-24.45,47.60,74.81,10.88,27.21
,Thermal,-10.00,0.03,-43.56,-96.24,-37.44
,Urban Activities,-16.04,59.88,80.19,10.42,33.61
