Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Temperature,0-10,1.35
2016,Humidity,21-30,1.41
2016,Wind,Low,4.77
2016,Temperature,High,6.2
2016,Humidity,Storm,7.76
2016,Wind,Calm,8.95
2021,Temperature,0-10,6.08
2021,Humidity,21-30,9.56
2021,Wind,Low,11.61
2021,Temperature,High,18.03
2021,Humidity,Storm,19.04
2021,Wind,Calm,20.21
2015,Temperature,0-10,24.95
2015,Humidity,21-30,22.92
2015,Wind,Low,24.9
2015,Temperature,High,24.05
2015,Humidity,Storm,22.05
2015,Wind,Calm,27.71
