State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Florida,Fort Lauderdale,2015,Soil,Urban Activities,1.51
Florida,Fort Lauderdale,2015,Water,Solid Waste,5.94
Florida,Fort Lauderdale,2015,Air,Industrial,7.1
Florida,Fort Lauderdale,2015,Soil,Inferior Irrigation,17.64
Florida,Fort Lauderdale,2015,Water,Inorganic Fertilizers,18.63
Florida,Fort Lauderdale,2015,Air,Chemical,20.32
Florida,Fort Lauderdale,2015,Soil,Surface water,21.45
Florida,Fort Lauderdale,2015,Water,Groundwater,21.5
Florida,Fort Lauderdale,2015,Air,Oxygen-depletion,24.52
Florida,Fort Lauderdale,2015,Soil,Thermal,25.78
Florida,Fort Lauderdale,2015,Water,Noise,24.15
Florida,Fort Lauderdale,2015,Air,Light,24.62
Florida,Fort Lauderdale,2015,Soil,Urban Activities,27.21
Florida,Fort Lauderdale,2015,Water,Solid Waste,-99.5
Florida,Fort Lauderdale,2015,Air,Industrial,30.72
Maryland,Tampa,2022,Soil,Urban Activities,-97.97
Maryland,Tampa,2022,Water,Solid Waste,-96.61
Maryland,Tampa,2022,Air,Industrial,0.05
Maryland,Tampa,2022,Soil,Inferior Irrigation,34.55
Maryland,Tampa,2022,Water,Inorganic Fertilizers,-93.92
Maryland,Tampa,2022,Air,Chemical,-92.49
Maryland,Tampa,2022,Soil,Surface water,33.33
Maryland,Tampa,2022,Water,Groundwater,-90.91
Maryland,Tampa,2022,Air,Oxygen-depletion,-93.38
Maryland,Tampa,2022,Soil,Thermal,40.05
Maryland,Tampa,2022,Water,Noise,45.6
Maryland,Tampa,2022,Air,Light,-82.49
Maryland,Tampa,2022,Soil,Urban Activities,47.93
Maryland,Tampa,2022,Water,Solid Waste,45.14
Maryland,Tampa,2022,Air,Industrial,-3.71
Florida,Aberdeen,2015,Soil,Urban Activities,50.99
Florida,Aberdeen,2015,Water,Solid Waste,-77.74
Florida,Aberdeen,2015,Air,Industrial,-78.92
Florida,Aberdeen,2015,Soil,Inferior Irrigation,48.16
Florida,Aberdeen,2015,Water,Inorganic Fertilizers,-79.38
Florida,Aberdeen,2015,Air,Chemical,-72.57
Florida,Aberdeen,2015,Soil,Surface water,-70.68
Florida,Aberdeen,2015,Water,Groundwater,59.51
Florida,Aberdeen,2015,Air,Oxygen-depletion,60.24
Florida,Aberdeen,2015,Soil,Thermal,61.14
Florida,Aberdeen,2015,Water,Noise,-66.98
Florida,Aberdeen,2015,Air,Light,-65.1
Florida,Aberdeen,2015,Soil,Urban Activities,63.21
Florida,Aberdeen,2015,Water,Solid Waste,65.55
Florida,Aberdeen,2015,Air,Industrial,-69.43
Maryland,Baltimore,2022,Soil,Urban Activities,73.63
Maryland,Baltimore,2022,Water,Solid Waste,73.06
Maryland,Baltimore,2022,Air,Industrial,-50.97
Maryland,Baltimore,2022,Soil,Inferior Irrigation,79.01
Maryland,Baltimore,2022,Water,Inorganic Fertilizers,-47.98
Maryland,Baltimore,2022,Air,Chemical,-46.91
Maryland,Baltimore,2022,Soil,Surface water,-46.8
Maryland,Baltimore,2022,Water,Groundwater,84.4
Maryland,Baltimore,2022,Air,Oxygen-depletion,-42.96
Maryland,Baltimore,2022,Soil,Thermal,-40.81
Maryland,Baltimore,2022,Water,Noise,-39.72
Maryland,Baltimore,2022,Air,Light,-38.21
Maryland,Baltimore,2022,Soil,Urban Activities,-39.71
Maryland,Baltimore,2022,Water,Solid Waste,93.34
Maryland,Baltimore,2022,Air,Industrial,-34.83
Florida,Columbia,2015,Soil,Urban Activities,-35.63
Florida,Columbia,2015,Water,Solid Waste,98.86
Florida,Columbia,2015,Air,Industrial,-30.27
Florida,Columbia,2015,Soil,Inferior Irrigation,-24.45
Florida,Columbia,2015,Water,Inorganic Fertilizers,-23.99
Florida,Columbia,2015,Air,Chemical,-22.6
Florida,Columbia,2015,Soil,Surface water,-23.7
Florida,Columbia,2015,Water,Groundwater,-18.58
Florida,Columbia,2015,Air,Oxygen-depletion,-16.81
Florida,Columbia,2015,Soil,Thermal,-13.95
Florida,Columbia,2015,Water,Noise,-9.88
Florida,Columbia,2015,Air,Light,-6.55
Florida,Columbia,2015,Soil,Urban Activities,-4.98
Florida,Columbia,2015,Water,Solid Waste,-3.01
Florida,Columbia,2015,Air,Industrial,-2.79
