Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Humidity,Medium,2.36
2021,Temperature,High,5.36
2021,Humidity,Low,6.38
2021,Temperature,11-20,5.76
2021,Humidity,0-10,8.38
2021,Temperature,31-40,9.22
2016,Humidity,Medium,9.35
2016,Temperature,High,9.86
2016,Humidity,Low,9.36
2016,Temperature,11-20,13.36
2016,Humidity,0-10,14.33
2016,Temperature,31-40,15.07
2020,Humidity,Medium,11.77
2020,Temperature,High,17.4
2020,Humidity,Low,17.7
2020,Temperature,11-20,22.86
2020,Humidity,0-10,27.72
2020,Temperature,31-40,6.59
