Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Humidity,High,0.36
2016,Temperature,Medium,1.29
2016,Wind,11-20,2.75
2016,Humidity,0-10,2.5
2016,Temperature,21-30,4.48
2016,Wind,Breeze,2.2
2016,Humidity,Calm,0.99
2016,Temperature,High,9.82
2016,Wind,Medium,9.33
2019,Humidity,High,12.46
2019,Temperature,Medium,17.66
2019,Wind,11-20,18.25
2019,Humidity,0-10,18.84
2019,Temperature,21-30,22.84
2019,Wind,Breeze,24.06
2019,Humidity,Calm,25.26
2019,Temperature,High,27.52
2019,Wind,Medium,24.11
