Polluted element,Type of pollution,California_Boulder City_2015,California_Malibu_2015,California_San Francisco_2015,Nevada_Berkeley_2017,Nevada_Las Vegas_2017,Nevada_Reno_2017
Average,,54.80,-77.03,-21.91,-63.50,84.17,25.24
,  ,54.80,-77.03,-21.91,-63.50,84.17,25.24
Air,,53.04,-78.30,-24.37,-65.84,81.72,23.80
,  Groundwater,49.00,-95.82,-34.62,-70.45,75.53,19.65
,  Industrial,57.11,-84.58,-12.87,-61.07,91.32,31.16
,  Surface water,53.77,-88.69,-24.77,-67.62,79.05,25.08
,  Thermal,52.27,-44.11,-25.21,-64.20,80.98,19.31
Soil,,56.23,-74.86,-18.93,-61.07,86.96,26.74
,  Chemical,51.70,-89.76,-27.73,-66.38,78.26,23.87
,  Light,57.36,-41.87,-22.42,-60.17,85.72,23.02
,  Solid Waste,61.21,-82.21,-7.69,-54.20,94.02,32.48
,  Urban Activities,54.63,-85.60,-17.87,-63.53,89.83,27.60
Water,,55.15,-77.93,-22.44,-63.59,83.83,25.18
,  Inferior Irrigation,58.76,-85.78,-10.35,-55.00,93.93,32.30
,  Inorganic Fertilizers,54.35,-87.90,-23.19,-67.55,81.52,25.22
,  Noise,56.07,-42.68,-24.57,-64.04,82.97,21.15
,  Oxygen-depletion,51.40,-95.37,-31.63,-67.76,76.90,22.07
