Polluted element,Type of pollution,Minnesota_Hastings,Minnesota_Redmond,Oregon_Minneapolis,Oregon_Salem
Air,Groundwater,-26.59,-94.79,-61.12,13.25
,Inferior Irrigation,-31.96,-96.72,-68.61,3.52
,Solid Waste,-4.21,-84.63,-46.88,26.65
,Thermal,-16.47,37.18,-54.19,18.11
Soil,Chemical,-23.77,-94.94,-59.96,14.25
,Inorganic Fertilizers,98.64,-97.30,62.73,9.35
,Noise,-6.35,-86.19,78.50,20.61
,Urban Activities,88.78,-98.64,-76.62,-0.26
Water,Light,-19.30,-91.98,-55.48,17.78
,Oxygen-depletion,-27.26,-94.60,-62.83,11.27
,Solid Waste,-40.87,31.27,52.87,2.65
,Urban Activities,-5.47,-85.35,82.44,22.15
