Quarter,Month,Production_Factory,Production_House,Residential_Administration,Residential_Apartment,Residential_Workshop,Service_Hotel,Service_School,State,City
Minimum,,64.85,15.66,85.54,0.62,51.22,30.21,66.53,,
,  ,64.85,15.66,85.54,0.62,51.22,30.21,66.53,,
Q2,,64.85,17.91,88.30,1.31,52.65,35.29,70.17,,
,  August,69.33,24.78,89.89,4.44,54.66,40.57,70.17,Illinois,Springfield
,  December,71.86,29.81,95.47,8.72,61.14,42.76,81.90,Maryland,Columbia
,  November,64.85,17.91,88.30,1.31,52.65,35.29,74.45,Maryland,Chicago
Q3,,67.12,19.68,89.86,2.26,52.75,37.70,75.72,,
,  July,70.80,25.37,92.35,5.56,55.23,41.34,79.15,Maryland,Chicago
,  June,67.12,19.68,89.86,2.26,52.75,37.70,75.72,Illinois,Baltimore
,  November,71.32,30.76,98.46,11.71,64.30,49.22,85.71,Illinois,Springfield
Q4,,65.68,15.66,85.54,0.62,51.22,30.21,66.53,,
,  April,67.73,20.03,90.44,1.40,54.60,38.15,66.53,Maryland,Columbia
,  December,65.68,15.66,85.54,0.62,51.22,30.21,74.72,Illinois,Springfield
,  September,69.48,28.66,94.99,4.80,59.79,40.60,80.94,Illinois,Baltimore
