Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2017,Q3,Drowning,Slight,32.12
Male,2017,Q3,Traffic,Serious,98.91
Male,2017,Q3,Fire,Slight,69.8
Male,2016,Q4,Drowning,Slight,37.51
Male,2016,Q4,Traffic,Serious,59.43
Male,2016,Q4,Fire,Slight,10.3
Male,2017,Q3,Drowning,Slight,59.96
Male,2017,Q3,Traffic,Serious,76.74
Male,2017,Q3,Fire,Slight,77.07
Male,2016,Q4,Drowning,Slight,16.67
Male,2016,Q4,Traffic,Serious,29.82
Male,2016,Q4,Fire,Slight,51.66
Male,2017,Q3,Drowning,Slight,23.2
Male,2017,Q3,Traffic,Serious,27.38
Male,2017,Q3,Fire,Slight,93.83
