Quarter,Month,State,City,Culture_Theatre,Culture_Workshop,Production_Concert,Production_Factory,Production_Museum,Minimum
Q2,November,California,Berkeley,68.77,30.88,60.17,3.70,83.77,3.70
,October,California,Berkeley,77.70,62.59,65.81,23.98,99.63,23.98
,September,California,San Francisco,75.87,40.80,64.92,18.67,91.86,18.67
Q3,August,California,Berkeley,74.10,38.50,63.66,7.64,88.15,7.64
,December,California,San Francisco,63.58,28.60,60.90,0.71,81.03,0.71
,May,California,San Francisco,77.00,47.44,66.32,21.28,97.47,21.28
Q4,April,California,Berkeley,74.71,42.12,65.49,20.17,92.20,20.17
,July,California,San Francisco,71.46,38.44,61.85,3.68,85.90,3.68
,October,California,Berkeley,63.70,27.08,59.62,0.98,80.59,0.98
Minimum,,,,63.58,27.08,59.62,0.71,80.59,0.71
