Polluted element,Type of pollution,Florida_Aberdeen_2021,Florida_Fort Lauderdale_2021,Georgia_Baltimore_2017,Georgia_Columbus_2017,Maryland_Albany_2019,Maryland_Tampa_2019
Air,Groundwater,70.89,-18.36,7.02,19.14,41.98,-54.80
,Light,71.62,-26.95,97.70,9.15,41.01,-65.30
,Solid Waste,79.54,-4.25,-84.94,27.22,48.87,-48.91
,Urban Activities,76.88,-21.92,-94.46,20.79,45.44,-54.37
Soil,Industrial,77.47,-17.96,-82.31,28.15,49.82,-46.32
,Inorganic Fertilizers,77.88,-19.82,-94.99,20.77,46.80,-50.28
,Oxygen-depletion,76.29,-15.46,8.80,20.11,43.82,-51.70
,Thermal,72.77,-23.54,96.48,13.29,42.37,-63.71
Water,Chemical,68.59,-23.24,5.62,18.09,40.95,-59.95
,Inferior Irrigation,77.64,-20.68,-86.12,25.63,47.96,-49.76
,Noise,72.37,-21.63,-97.00,15.26,44.24,-60.01
,Surface water,65.09,-28.88,97.00,9.63,31.13,-69.35
