Characteristic,Intensity,2015_Nevada_Albany,2017_Georgia_Las Vegas,2019_Georgia_Columbus,2019_Nevada_Boulder City,Maximum
Humidity,,25.54,16.42,26.39,7.73,26.39
,  0-10,25.54,16.42,5.19,7.73,25.54
,  21-30,15.84,10.15,26.39,1.92,26.39
,  Storm,22.63,4.84,24.77,4.69,24.77
Temperature,,22.37,15.90,27.86,6.16,27.86
,  0-10,18.69,9.02,27.86,0.87,27.86
,  Calm,22.37,15.90,4.79,6.16,22.37
,  Low,21.81,12.98,23.87,3.89,23.87
Wind,,24.22,17.62,26.47,5.02,26.47
,  21-30,24.22,17.62,21.39,3.01,24.22
,  Breeze,23.74,10.03,12.34,5.02,23.74
,  Medium,16.71,6.36,26.47,2.73,26.47
