Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q4,December,11.87
Production,Factory,Q3,October,17.46
Production,Factory,Q4,November,19.3
Production,Factory,Q3,September,20.51
Production,Factory,Q4,August,28.86
Production,Factory,Q3,July,29.32
Service,Workshop,Q4,December,39.97
Service,Workshop,Q3,October,43.44
Service,Workshop,Q4,November,51.04
Service,Workshop,Q3,September,52.32
Service,Workshop,Q4,August,53.15
Service,Workshop,Q3,July,54.31
Production,Hospital,Q4,December,54.05
Production,Hospital,Q3,October,57.71
Production,Hospital,Q4,November,58.88
Production,Hospital,Q3,September,60.91
Production,Hospital,Q4,August,77.29
Production,Hospital,Q3,July,78.52
Service,Library,Q4,December,82.32
Service,Library,Q3,October,83.68
Service,Library,Q4,November,88.55
Service,Library,Q3,September,89.44
Service,Library,Q4,August,97.38
Service,Library,Q3,July,99.4
