Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2016,Beverage,Coffee,960.66
Import,2016,Meat,Juice,229.71
Import,2016,Beverage,Soda,230.3
Import,2016,Meat,Camel,647.37
Import,2016,Beverage,Chicken,72.38
Import,2016,Meat,Beef,617.99
Import,2021,Beverage,Coffee,524.41
Import,2021,Meat,Juice,301.55
Import,2021,Beverage,Soda,717.67
Import,2021,Meat,Camel,92.54
Import,2021,Beverage,Chicken,311.21
Import,2021,Meat,Beef,277.04
Import,2016,Beverage,Coffee,214.64
Import,2016,Meat,Juice,789.57
Import,2016,Beverage,Soda,27.46
Import,2016,Meat,Camel,924.64
Import,2016,Beverage,Chicken,189.45
Import,2016,Meat,Beef,894.86
