Polluted element,Type of pollution,Georgia_Cambridge,Georgia_Columbus,Georgia_Redmond,Massachusetts_Lenox,Massachusetts_Portland,Massachusetts_Washington,Oregon_Albany,Oregon_Boston,Oregon_Salem
Average,,-24.27,-65.77,42.68,-11.96,63.76,-72.06,73.36,-51.62,16.39
,  ,-24.27,-65.77,42.68,-11.96,63.76,-72.06,73.36,-51.62,16.39
Air,,-25.55,-62.24,41.52,-12.87,61.86,-73.86,82.45,-54.89,13.43
,  Groundwater,-23.00,-91.46,44.91,-10.52,63.53,-70.76,84.42,-54.99,16.31
,  Inorganic Fertilizers,-26.92,-99.62,38.24,-13.67,60.08,-79.03,80.70,-56.95,11.19
,  Thermal,-26.72,4.34,41.41,-14.41,61.96,-71.78,82.24,-52.73,12.79
Soil,,-24.73,-60.25,42.39,-11.19,63.81,-72.14,52.00,-50.32,16.72
,  Noise,-27.27,5.59,39.87,-11.12,63.08,-71.29,84.13,-48.95,17.84
,  Surface water,-22.84,-90.38,45.54,-9.94,66.23,-69.98,-9.78,-46.24,18.69
,  Urban Activities,-24.08,-95.95,41.75,-12.50,62.11,-75.15,81.65,-55.78,13.64
Water,,-22.54,-74.81,44.12,-11.84,65.61,-70.17,85.64,-49.65,19.02
,  Industrial,-23.76,-92.71,43.61,-11.57,63.29,-74.20,83.45,-55.93,14.37
,  Oxygen-depletion,-20.17,-90.91,46.06,-10.04,67.94,-66.44,88.72,-46.62,21.42
,  Solid Waste,-23.69,-40.81,42.70,-13.90,65.60,-69.87,84.75,-46.39,21.25
