Quarter,Month,Culture_Factory,Culture_Library,Culture_Theatre,Production_Museum,Production_Workshop,Service_Concert,Service_Hospital
Q2,,35.86,89.07,1.14,4.21,56.82,27.51,77.16
,  July,35.86,89.07,1.14,4.21,56.82,27.51,77.16
,  June,40.32,93.59,5.85,15.82,63.16,32.20,82.66
,  October,47.14,99.81,9.88,23.54,66.08,36.21,86.62
Q3,,37.16,89.83,2.58,10.66,52.49,25.03,70.29
,  August,37.16,93.90,4.00,12.14,62.57,29.84,80.13
,  May,45.37,97.51,5.47,17.35,65.59,35.06,82.54
,  November,38.66,89.83,2.58,10.66,52.49,25.03,70.29
Q4,,37.64,88.08,1.26,10.12,49.24,25.51,69.38
,  April,43.19,95.32,3.41,17.82,64.41,33.11,82.38
,  October,37.64,88.08,1.26,10.12,49.24,25.51,69.38
,  September,40.19,92.05,3.34,13.80,60.99,27.05,77.45
