Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q1,January,1.24
Service,Administration,Q2,February,1.78
Service,Administration,Q4,March,1.18
Service,Administration,Q1,April,2.38
Service,Administration,Q2,May,6.03
Service,Administration,Q4,June,8.93
Service,Administration,Q1,November,12.77
Service,Administration,Q2,December,15.15
Service,Administration,Q4,October,16.96
Culture,School,Q1,January,18.01
Culture,School,Q2,February,19.08
Culture,School,Q4,March,20.31
Culture,School,Q1,April,20.33
Culture,School,Q2,May,21.41
Culture,School,Q4,June,23.53
Culture,School,Q1,November,23.59
Culture,School,Q2,December,25.19
Culture,School,Q4,October,27.35
Residential,Theatre,Q1,January,28.44
Residential,Theatre,Q2,February,30.53
Residential,Theatre,Q4,March,30.17
Residential,Theatre,Q1,April,33.22
Residential,Theatre,Q2,May,34.72
Residential,Theatre,Q4,June,34.37
Residential,Theatre,Q1,November,33.46
Residential,Theatre,Q2,December,37.13
Residential,Theatre,Q4,October,38.44
Service,Museum,Q1,January,38.33
Service,Museum,Q2,February,40.88
Service,Museum,Q4,March,41.29
Service,Museum,Q1,April,35.28
Service,Museum,Q2,May,35.07
Service,Museum,Q4,June,46.62
Service,Museum,Q1,November,47.27
Service,Museum,Q2,December,48.08
Service,Museum,Q4,October,0.04
Culture,Concert,Q1,January,50.11
Culture,Concert,Q2,February,49.66
Culture,Concert,Q4,March,53.67
Culture,Concert,Q1,April,56.92
Culture,Concert,Q2,May,58.23
Culture,Concert,Q4,June,59.19
Culture,Concert,Q1,November,60.26
Culture,Concert,Q2,December,59.56
Culture,Concert,Q4,October,62.69
Residential,House,Q1,January,63.99
Residential,House,Q2,February,64.47
Residential,House,Q4,March,65.66
Residential,House,Q1,April,63.37
Residential,House,Q2,May,69.89
Residential,House,Q4,June,69.94
Residential,House,Q1,November,72.64
Residential,House,Q2,December,73.79
Residential,House,Q4,October,72.66
Service,Apartment,Q1,January,72.86
Service,Apartment,Q2,February,77.06
Service,Apartment,Q4,March,77.78
Service,Apartment,Q1,April,81.35
Service,Apartment,Q2,May,81.5
Service,Apartment,Q4,June,82.2
Service,Apartment,Q1,November,84.78
Service,Apartment,Q2,December,85.69
Service,Apartment,Q4,October,85.81
Culture,Hotel,Q1,January,85.18
Culture,Hotel,Q2,February,84.44
Culture,Hotel,Q4,March,82.69
Culture,Hotel,Q1,April,90.27
Culture,Hotel,Q2,May,94.88
Culture,Hotel,Q4,June,97.71
Culture,Hotel,Q1,November,98.71
Culture,Hotel,Q2,December,99.43
Culture,Hotel,Q4,October,99.55
