Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,31-40,1.93
2017,Wind,21-30,2.94
2017,Temperature,0-10,3.56
2017,Wind,Breeze,3.4
2017,Temperature,Calm,3.81
2017,Wind,31-40,3.79
2015,Temperature,31-40,6.2
2015,Wind,21-30,8.97
2015,Temperature,0-10,9.83
2015,Wind,Breeze,14.2
2015,Temperature,Calm,15.66
2015,Wind,31-40,18.17
2016,Temperature,31-40,22.04
2016,Wind,21-30,22.98
2016,Temperature,0-10,24.85
2016,Wind,Breeze,25.14
2016,Temperature,Calm,26.04
2016,Wind,31-40,27.67
