Quarter,Month,State,City,Culture_Hotel,Culture_Workshop,Production_Factory,Production_House,Production_Theatre,Residential_Apartment,Residential_Concert,Minimum
Q2,July,Georgia,Albany,68.66,23.47,12.35,97.17,59.70,89.42,43.42,12.35
,November,Maryland,Columbus,63.45,18.35,7.02,95.15,56.10,82.03,37.66,7.02
,September,Georgia,Aberdeen,59.63,15.53,6.87,90.45,48.31,71.32,30.74,6.87
Q3,April,Georgia,Aberdeen,66.85,21.19,10.91,98.85,56.19,83.50,8.96,8.96
,July,Georgia,Albany,60.37,12.01,2.66,89.10,43.13,69.52,23.79,2.66
,October,Maryland,Baltimore,59.03,16.54,7.91,95.44,49.79,77.91,35.23,7.91
Q4,August,Maryland,Columbus,59.89,14.57,4.74,91.01,46.34,61.25,25.93,4.74
,December,Georgia,Albany,60.26,14.66,6.31,95.49,53.32,78.81,36.61,6.31
,June,Maryland,Baltimore,67.05,22.58,11.65,99.33,58.86,84.84,59.60,11.65
Minimum,,,,59.03,12.01,2.66,89.10,43.13,61.25,8.96,2.66
