Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2015,Q2,Dairy,Cream,128.51
Import,2015,Q2,Cereals,Cheese,651.96
Import,2015,Q2,Dairy,Yoghurt,140.81
Import,2015,Q2,Cereals,Corn,526.37
Import,2015,Q2,Dairy,Wheat,784.75
Import,2015,Q2,Cereals,Cream,912.67
Import,2016,Q2,Dairy,Cream,787.76
Import,2016,Q2,Cereals,Cheese,284.43
Import,2016,Q2,Dairy,Yoghurt,544.54
Import,2016,Q2,Cereals,Corn,165.76
Import,2016,Q2,Dairy,Wheat,683.18
Import,2016,Q2,Cereals,Cream,171.67
Import,2015,Q2,Dairy,Cream,52.69
Import,2015,Q2,Cereals,Cheese,697.73
Import,2015,Q2,Dairy,Yoghurt,448.8
Import,2015,Q2,Cereals,Corn,580.06
Import,2015,Q2,Dairy,Wheat,838.99
Import,2015,Q2,Cereals,Cream,200.33
Import,2016,Q2,Dairy,Cream,971.36
Import,2016,Q2,Cereals,Cheese,721.44
Import,2016,Q2,Dairy,Yoghurt,338.04
Import,2016,Q2,Cereals,Corn,234.2
Import,2016,Q2,Dairy,Wheat,363.81
Import,2016,Q2,Cereals,Cream,119.54
