Characteristic,Intensity,2017_California_Springfield,2017_Florida_Fort Lauderdale,2017_Illinois_San Francisco,2020_California_Berkeley,2020_California_Tampa,2020_Florida_Champaign,2020_Illinois_Chicago,Maximum
Humidity,,27.31,17.34,16.44,7.60,21.75,25.67,13.97,27.31
,  Breeze,7.27,5.61,16.44,7.60,21.75,25.67,13.97,25.67
,  Calm,27.31,16.74,10.42,0.54,1.43,18.42,3.44,27.31
,  High,6.73,17.34,13.17,4.24,20.52,22.35,11.94,22.35
Temperature,,26.02,17.43,16.17,8.07,22.82,25.74,14.46,26.02
,  21-30,26.02,17.43,14.58,5.26,7.47,23.20,12.68,26.02
,  Calm,8.31,5.88,16.17,8.07,22.82,25.74,14.46,25.74
,  Storm,24.54,17.00,11.47,2.48,19.00,20.86,11.07,24.54
Wind,,27.94,17.22,12.85,6.90,7.54,24.67,13.26,27.94
,  0-10,3.16,5.39,10.44,6.90,7.29,24.67,13.26,24.67
,  Breeze,27.94,14.53,9.77,0.14,6.55,18.97,3.42,27.94
,  Medium,23.21,17.22,12.85,3.73,7.54,20.19,11.44,23.21
