Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q2,June,1.6
Service,School,Q1,May,2.8
Service,School,Q3,February,3.5
Service,School,Q2,March,4.02
Service,School,Q1,August,7.74
Service,School,Q3,September,10.42
Service,School,Q2,July,13.9
Service,School,Q1,June,14.71
Service,School,Q3,May,21.72
Production,Library,Q2,June,28.71
Production,Library,Q1,May,28.35
Production,Library,Q3,February,29.38
Production,Library,Q2,March,32.54
Production,Library,Q1,August,35.11
Production,Library,Q3,September,40.12
Production,Library,Q2,July,40.22
Production,Library,Q1,June,42.46
Production,Library,Q3,May,43.11
Service,Administration,Q2,June,42.98
Service,Administration,Q1,May,45.53
Service,Administration,Q3,February,46.75
Service,Administration,Q2,March,48.52
Service,Administration,Q1,August,50.78
Service,Administration,Q3,September,50.76
Service,Administration,Q2,July,52.23
Service,Administration,Q1,June,51.44
Service,Administration,Q3,May,55.68
Production,Factory,Q2,June,57.87
Production,Factory,Q1,May,59.37
Production,Factory,Q3,February,60.82
Production,Factory,Q2,March,61.17
Production,Factory,Q1,August,62.92
Production,Factory,Q3,September,63.94
Production,Factory,Q2,July,66.95
Production,Factory,Q1,June,67.94
Production,Factory,Q3,May,70.07
Service,Workshop,Q2,June,71.27
Service,Workshop,Q1,May,75.81
Service,Workshop,Q3,February,83.31
Service,Workshop,Q2,March,84.73
Service,Workshop,Q1,August,85.25
Service,Workshop,Q3,September,84.45
Service,Workshop,Q2,July,87.24
Service,Workshop,Q1,June,92.6
Service,Workshop,Q3,May,97.74
