Quarter,Month,Culture_Factory,Culture_Hotel,Culture_Museum,Production_House,Production_Theatre,Residential_Apartment,Residential_Concert,Residential_Workshop,Minimum,State,City
Q2,,91.94,10.47,68.81,0.04,71.08,1.38,51.42,75.85,0.04,,
,  April,91.94,10.47,68.81,32.77,71.08,1.38,51.42,75.85,1.38,Oregon,Redmond
,  December,99.19,21.70,72.11,0.04,74.75,6.49,63.56,87.15,0.04,Oregon,Redmond
,  June,96.98,13.06,70.54,40.85,76.56,4.25,54.60,84.36,4.25,Oregon,Redmond
Q4,,93.81,13.99,69.02,35.29,71.23,1.26,53.89,75.34,1.26,,
,  April,99.54,24.76,71.69,51.49,79.37,9.78,66.20,88.79,9.78,Oregon,Redmond
,  May,93.81,13.99,69.02,35.29,74.45,1.26,53.89,75.34,1.26,Oregon,Redmond
,  October,98.71,20.47,69.36,45.21,71.23,4.05,62.98,84.03,4.05,Oregon,Redmond
Minimum,,91.94,10.47,68.81,0.04,71.08,1.26,51.42,75.34,0.04,,
,  ,91.94,10.47,68.81,0.04,71.08,1.26,51.42,75.34,0.04,,
