Polluted element,Type of pollution,Florida_Albany,Florida_Fort Lauderdale,Georgia_Tampa,Georgia_Washington
Soil,,-2.10,10.78,-33.58,40.97
,  Chemical,77.71,21.12,49.75,-33.70
,  Industrial,76.80,7.21,-90.70,93.82
,  Oxygen-depletion,-49.43,23.64,-62.31,-28.70
,  Solid Waste,-60.83,-0.36,30.11,84.46
,  Urban Activities,-54.73,2.29,-94.76,88.96
Water,,-26.19,14.53,-2.20,-32.35
,  Groundwater,-52.61,20.81,45.71,-35.77
,  Inferior Irrigation,-58.87,1.37,34.43,-43.00
,  Inorganic Fertilizers,-53.28,3.67,-91.56,-38.26
,  Solid Waste,-45.96,25.42,68.73,-14.68
,  Surface water,79.79,21.38,-68.33,-30.04
