Polluted element,Type of pollution,Michigan_Detroit,Michigan_Reno,Nevada_Boulder City,Nevada_Flint,Nevada_Las Vegas
Average,,22.24,-11.95,11.51,-2.94,-18.38
,  ,22.24,-11.95,11.51,-2.94,-18.38
Air,,32.23,8.50,-12.82,-19.62,-33.46
,  Chemical,-48.99,37.71,-68.65,-29.26,8.50
,  Industrial,94.73,-76.18,72.08,-4.64,-95.19
,  Inorganic Fertilizers,70.11,35.31,-73.35,-31.44,4.36
,  Noise,-44.18,-4.86,65.98,-19.77,14.05
,  Solid Waste,89.48,50.52,-60.15,-13.00,-99.01
Soil,,3.30,-10.31,10.28,2.81,-11.93
,  Inferior Irrigation,74.30,37.76,55.17,98.59,6.26
,  Inorganic Fertilizers,89.14,50.91,70.89,-10.56,-98.34
,  Oxygen-depletion,-47.11,34.89,-67.96,-22.45,8.83
,  Thermal,-42.15,-80.22,-62.24,-17.06,22.81
,  Urban Activities,-57.69,-94.89,55.52,-34.45,0.80
Water,,31.18,-34.05,37.06,8.00,-9.76
,  Industrial,-56.21,38.81,58.96,99.36,7.07
,  Inferior Irrigation,93.39,-76.15,71.84,-7.10,-96.71
,  Light,84.12,-87.02,62.39,-4.43,13.89
,  Solid Waste,-54.22,-95.14,-73.41,-33.06,3.46
,  Urban Activities,88.84,49.25,65.51,-14.76,23.50
