Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Storm,0.36
2020,Temperature,Calm,1.55
2020,Wind,Breeze,3.65
2020,Temperature,11-20,4.32
2020,Wind,31-40,3.0
2020,Temperature,0-10,24.94
2019,Wind,Storm,7.41
2019,Temperature,Calm,11.14
2019,Wind,Breeze,12.24
2019,Temperature,11-20,15.51
2019,Wind,31-40,16.48
2019,Temperature,0-10,18.49
2016,Wind,Storm,22.04
2016,Temperature,Calm,23.39
2016,Wind,Breeze,24.14
2016,Temperature,11-20,24.58
2016,Wind,31-40,26.42
2016,Temperature,0-10,27.86
