Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Calm,1.26
2022,Temperature,Breeze,1.79
2022,Humidity,Storm,3.66
2022,Wind,11-20,3.41
2022,Temperature,0-10,5.4
2022,Humidity,31-40,6.37
2022,Wind,Low,7.69
2022,Temperature,High,7.18
2022,Humidity,Calm,9.54
2021,Wind,Calm,7.61
2021,Temperature,Breeze,5.08
2021,Humidity,Storm,9.89
2021,Wind,11-20,4.82
2021,Temperature,0-10,11.9
2021,Humidity,31-40,10.69
2021,Wind,Low,16.29
2021,Temperature,High,17.52
2021,Humidity,Calm,18.15
2018,Wind,Calm,19.72
2018,Temperature,Breeze,17.95
2018,Humidity,Storm,18.64
2018,Wind,11-20,22.79
2018,Temperature,0-10,18.03
2018,Humidity,31-40,24.7
2018,Wind,Low,25.6
2018,Temperature,High,27.66
2018,Humidity,Calm,11.42
