Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,Medium,2.42
2015,Wind,High,3.78
2015,Temperature,Low,2.51
2015,Humidity,Breeze,5.54
2015,Wind,Calm,6.18
2015,Temperature,Storm,7.4
2015,Humidity,31-40,5.99
2015,Wind,21-30,9.02
2015,Temperature,Medium,10.43
2022,Humidity,Medium,9.29
2022,Wind,High,12.4
2022,Temperature,Low,13.9
2022,Humidity,Breeze,14.12
2022,Wind,Calm,15.18
2022,Temperature,Storm,15.02
2022,Humidity,31-40,14.32
2022,Wind,21-30,18.71
2022,Temperature,Medium,19.67
2021,Humidity,Medium,20.4
2021,Wind,High,23.14
2021,Temperature,Low,24.02
2021,Humidity,Breeze,25.93
2021,Wind,Calm,25.12
2021,Temperature,Storm,26.87
2021,Humidity,31-40,27.82
2021,Wind,21-30,25.43
2021,Temperature,Medium,24.06
