Polluted element,Type of pollution,Michigan_Flint_2020,Michigan_Portland_2020,Oregon_Detroit_2019,Oregon_Redmond_2019
Air,,2.14,1.76,-2.12,3.07
,  Chemical,38.90,-37.96,57.11,-8.23
,  Inorganic Fertilizers,-95.38,85.22,-75.41,-13.82
,  Surface water,14.89,-62.81,41.43,91.47
,  Thermal,20.03,-57.03,-84.13,-28.51
,  Urban Activities,32.25,81.36,50.42,-25.54
Soil,,2.92,4.32,-0.93,-18.33
,  Chemical,15.57,-59.17,-88.76,-33.46
,  Groundwater,39.37,-36.42,63.92,-5.30
,  Light,20.94,75.35,-83.56,-25.11
,  Oxygen-depletion,34.34,-41.36,54.23,-10.87
,  Solid Waste,-95.63,83.22,49.51,-16.90
Water,,23.60,-0.14,47.07,2.75
,  Groundwater,19.27,70.07,40.14,-29.30
,  Industrial,33.49,-44.45,50.11,-13.87
,  Inferior Irrigation,22.76,80.11,49.79,-25.56
,  Oxygen-depletion,4.99,-65.62,40.01,91.64
,  Surface water,37.50,-40.83,55.29,-9.18
