Polluted element,Type of pollution,Florida_Baltimore_2017,Florida_Redmond_2020,Maryland_Columbia_2020,Maryland_Fort Lauderdale_2017,Maryland_Portland_2020,Oregon_Salem_2017,Oregon_Tampa_2020
Average,,43.03,-76.38,19.49,19.78,-25.95,-50.64,68.05
,  ,43.03,-76.38,19.49,19.78,-25.95,-50.64,68.05
Air,,42.28,-79.28,17.58,42.61,-28.55,-52.44,65.10
,  Industrial,39.35,-84.77,17.69,92.39,-31.32,-52.21,62.24
,  Inferior Irrigation,43.12,-70.47,21.51,93.30,-28.89,-49.18,69.06
,  Light,36.39,-94.69,6.98,82.51,-43.78,-63.24,51.73
,  Surface water,50.26,-67.21,24.14,-97.76,-10.20,-45.13,77.38
Soil,,42.33,-76.75,17.34,20.05,-28.26,-50.28,68.32
,  Groundwater,50.54,-64.21,21.10,-96.68,-10.91,-43.16,78.03
,  Oxygen-depletion,46.01,-68.11,22.25,0.60,-30.57,-47.82,71.60
,  Thermal,37.39,-93.12,7.32,83.59,-40.16,-59.08,55.68
,  Urban Activities,35.38,-81.58,18.70,92.68,-31.41,-51.06,67.97
Water,,44.47,-73.11,23.54,-3.31,-21.04,-49.20,70.72
,  Chemical,49.46,-67.14,22.28,-98.57,-12.81,-45.75,76.22
,  Inorganic Fertilizers,42.61,-71.25,19.26,93.78,-29.58,-51.64,69.40
,  Light,49.23,-63.66,35.68,-95.66,-6.98,-42.08,79.25
,  Noise,36.57,-90.38,16.95,87.22,-34.78,-57.35,58.01
