Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Workshop,Q3,August,Michigan,Port Huron,2.43
Production,Workshop,Q2,September,Michigan,Flint,3.6
Production,Workshop,Q3,July,Michigan,Port Huron,6.96
Production,Workshop,Q2,April,Michigan,Flint,7.44
Production,Workshop,Q3,May,Michigan,Port Huron,8.98
Production,Workshop,Q2,August,Michigan,Flint,14.35
Service,Factory,Q3,August,Michigan,Port Huron,14.22
Service,Factory,Q2,September,Michigan,Flint,18.24
Service,Factory,Q3,July,Michigan,Port Huron,24.65
Service,Factory,Q2,April,Michigan,Flint,27.8
Service,Factory,Q3,May,Michigan,Port Huron,28.77
Service,Factory,Q2,August,Michigan,Flint,37.91
Culture,Administration,Q3,August,Michigan,Port Huron,39.72
Culture,Administration,Q2,September,Michigan,Flint,40.33
Culture,Administration,Q3,July,Michigan,Port Huron,39.64
Culture,Administration,Q2,April,Michigan,Flint,42.27
Culture,Administration,Q3,May,Michigan,Port Huron,46.03
Culture,Administration,Q2,August,Michigan,Flint,48.22
Production,Hospital,Q3,August,Michigan,Port Huron,50.46
Production,Hospital,Q2,September,Michigan,Flint,54.76
Production,Hospital,Q3,July,Michigan,Port Huron,58.43
Production,Hospital,Q2,April,Michigan,Flint,59.81
Production,Hospital,Q3,May,Michigan,Port Huron,59.54
Production,Hospital,Q2,August,Michigan,Flint,62.79
Service,Concert,Q3,August,Michigan,Port Huron,65.33
Service,Concert,Q2,September,Michigan,Flint,70.61
Service,Concert,Q3,July,Michigan,Port Huron,74.87
Service,Concert,Q2,April,Michigan,Flint,74.53
Service,Concert,Q3,May,Michigan,Port Huron,76.97
Service,Concert,Q2,August,Michigan,Flint,75.52
Culture,Theatre,Q3,August,Michigan,Port Huron,79.06
Culture,Theatre,Q2,September,Michigan,Flint,82.7
Culture,Theatre,Q3,July,Michigan,Port Huron,82.78
Culture,Theatre,Q2,April,Michigan,Flint,87.54
Culture,Theatre,Q3,May,Michigan,Port Huron,91.67
Culture,Theatre,Q2,August,Michigan,Flint,94.61
Production,Museum,Q3,August,Michigan,Port Huron,95.3
Production,Museum,Q2,September,Michigan,Flint,95.44
Production,Museum,Q3,July,Michigan,Port Huron,97.94
Production,Museum,Q2,April,Michigan,Flint,98.25
Production,Museum,Q3,May,Michigan,Port Huron,99.12
Production,Museum,Q2,August,Michigan,Flint,95.17
