Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q2,May,1.38
Service,Library,Q1,April,2.63
Service,Library,Q3,June,7.6
Service,Library,Q2,March,11.82
Service,Library,Q1,January,15.3
Service,Library,Q3,February,16.56
Service,Library,Q2,July,17.8
Service,Library,Q1,August,18.05
Service,Library,Q3,September,16.51
Residential,School,Q2,May,24.94
Residential,School,Q1,April,25.56
Residential,School,Q3,June,25.44
Residential,School,Q2,March,27.44
Residential,School,Q1,January,28.43
Residential,School,Q3,February,27.95
Residential,School,Q2,July,30.92
Residential,School,Q1,August,40.14
Residential,School,Q3,September,44.87
Production,House,Q2,May,44.9
Production,House,Q1,April,46.92
Production,House,Q3,June,47.39
Production,House,Q2,March,46.28
Production,House,Q1,January,49.81
Production,House,Q3,February,48.98
Production,House,Q2,July,52.32
Production,House,Q1,August,52.38
Production,House,Q3,September,55.83
Service,Apartment,Q2,May,58.52
Service,Apartment,Q1,April,58.18
Service,Apartment,Q3,June,61.18
Service,Apartment,Q2,March,66.19
Service,Apartment,Q1,January,68.07
Service,Apartment,Q3,February,70.21
Service,Apartment,Q2,July,71.6
Service,Apartment,Q1,August,71.87
Service,Apartment,Q3,September,73.76
Residential,Workshop,Q2,May,71.48
Residential,Workshop,Q1,April,71.06
Residential,Workshop,Q3,June,77.73
Residential,Workshop,Q2,March,77.08
Residential,Workshop,Q1,January,79.79
Residential,Workshop,Q3,February,80.5
Residential,Workshop,Q2,July,82.18
Residential,Workshop,Q1,August,85.01
Residential,Workshop,Q3,September,85.18
Production,Factory,Q2,May,87.86
Production,Factory,Q1,April,87.62
Production,Factory,Q3,June,89.76
Production,Factory,Q2,March,94.6
Production,Factory,Q1,January,94.35
Production,Factory,Q3,February,96.87
Production,Factory,Q2,July,97.7
Production,Factory,Q1,August,98.65
Production,Factory,Q3,September,99.2
