Characteristic,Intensity,2016_Michigan_Redmond,2017_Michigan_Portland,2017_Oregon_Port Huron,2022_Michigan_Flint,2022_Oregon_Salem,Maximum
Humidity,21-30,15.97,16.12,12.26,4.87,6.10,16.12
,High,18.35,3.86,9.53,0.72,27.58,27.58
,Storm,20.01,12.48,9.18,3.24,27.51,27.51
Temperature,11-20,20.02,1.58,14.56,3.92,0.93,20.02
,Breeze,19.39,1.45,11.89,0.73,27.91,27.91
,High,25.77,21.86,17.52,5.81,2.52,25.77
Wind,0-10,25.35,16.17,9.19,4.63,8.63,25.35
,Calm,22.61,12.52,13.93,4.69,5.91,22.61
,Low,18.93,10.78,10.42,1.10,27.50,27.50
Maximum,,25.77,21.86,17.52,5.81,27.91,27.91
