Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,October,2.62
Residential,House,Q3,December,4.61
Residential,House,Q2,November,5.43
Residential,House,Q4,September,4.9
Residential,House,Q3,August,6.13
Residential,House,Q2,July,9.78
Residential,House,Q4,May,9.25
Residential,House,Q3,April,11.16
Residential,House,Q2,October,13.32
Service,Hotel,Q4,October,79.37
Service,Hotel,Q3,December,15.58
Service,Hotel,Q2,November,13.99
Service,Hotel,Q4,September,14.85
Service,Hotel,Q3,August,20.3
Service,Hotel,Q2,July,22.66
Service,Hotel,Q4,May,23.65
Service,Hotel,Q3,April,27.91
Service,Hotel,Q2,October,28.92
Culture,School,Q4,October,29.12
Culture,School,Q3,December,30.97
Culture,School,Q2,November,30.49
Culture,School,Q4,September,31.26
Culture,School,Q3,August,29.85
Culture,School,Q2,July,34.94
Culture,School,Q4,May,35.52
Culture,School,Q3,April,35.62
Culture,School,Q2,October,36.65
Residential,Administration,Q4,October,38.95
Residential,Administration,Q3,December,38.11
Residential,Administration,Q2,November,40.16
Residential,Administration,Q4,September,34.01
Residential,Administration,Q3,August,48.68
Residential,Administration,Q2,July,48.09
Residential,Administration,Q4,May,48.5
Residential,Administration,Q3,April,51.16
Residential,Administration,Q2,October,54.59
Service,Hospital,Q4,October,55.18
Service,Hospital,Q3,December,57.51
Service,Hospital,Q2,November,59.01
Service,Hospital,Q4,September,59.37
Service,Hospital,Q3,August,61.71
Service,Hospital,Q2,July,60.53
Service,Hospital,Q4,May,61.63
Service,Hospital,Q3,April,62.67
Service,Hospital,Q2,October,65.2
Culture,Concert,Q4,October,65.88
Culture,Concert,Q3,December,67.42
Culture,Concert,Q2,November,62.37
Culture,Concert,Q4,September,76.57
Culture,Concert,Q3,August,77.77
Culture,Concert,Q2,July,78.12
Culture,Concert,Q4,May,77.32
Culture,Concert,Q3,April,80.73
Culture,Concert,Q2,October,81.32
Residential,Museum,Q4,October,82.7
Residential,Museum,Q3,December,80.59
Residential,Museum,Q2,November,84.73
Residential,Museum,Q4,September,84.84
Residential,Museum,Q3,August,84.23
Residential,Museum,Q2,July,83.85
Residential,Museum,Q4,May,88.74
Residential,Museum,Q3,April,88.86
Residential,Museum,Q2,October,90.88
Service,Theatre,Q4,October,90.9
Service,Theatre,Q3,December,92.91
Service,Theatre,Q2,November,93.38
Service,Theatre,Q4,September,94.22
Service,Theatre,Q3,August,94.27
Service,Theatre,Q2,July,96.19
Service,Theatre,Q4,May,97.59
Service,Theatre,Q3,April,92.69
Service,Theatre,Q2,October,76.99
