Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q1,March,9.31
Production,Factory,Q2,January,15.05
Production,Factory,Q1,June,15.71
Production,Factory,Q2,May,15.91
Service,Workshop,Q1,March,23.43
Service,Workshop,Q2,January,23.03
Service,Workshop,Q1,June,24.06
Service,Workshop,Q2,May,25.42
Residential,School,Q1,March,27.82
Residential,School,Q2,January,28.58
Residential,School,Q1,June,28.8
Residential,School,Q2,May,30.23
Production,Administration,Q1,March,31.11
Production,Administration,Q2,January,28.47
Production,Administration,Q1,June,31.74
Production,Administration,Q2,May,32.36
Service,Hospital,Q1,March,44.74
Service,Hospital,Q2,January,53.92
Service,Hospital,Q1,June,69.17
Service,Hospital,Q2,May,76.64
Residential,Hotel,Q1,March,84.22
Residential,Hotel,Q2,January,92.01
Residential,Hotel,Q1,June,94.73
Residential,Hotel,Q2,May,95.75
Production,Apartment,Q1,March,96.43
Production,Apartment,Q2,January,97.76
Production,Apartment,Q1,June,99.78
Production,Apartment,Q2,May,99.84
