Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2019,Massachusetts,Lenox,Humidity,Low,0.32
2019,Massachusetts,Lenox,Wind,Medium,2.39
2019,Massachusetts,Lenox,Humidity,Storm,2.47
2019,Massachusetts,Lenox,Wind,Breeze,5.71
2020,Oregon,Cambridge,Humidity,Low,6.99
2020,Oregon,Cambridge,Wind,Medium,7.19
2020,Oregon,Cambridge,Humidity,Storm,7.91
2020,Oregon,Cambridge,Wind,Breeze,8.29
2022,Nevada,Redmond,Humidity,Low,10.65
2022,Nevada,Redmond,Wind,Medium,11.67
2022,Nevada,Redmond,Humidity,Storm,8.81
2022,Nevada,Redmond,Wind,Breeze,12.05
2019,Massachusetts,Portland,Humidity,Low,5.3
2019,Massachusetts,Portland,Wind,Medium,6.75
2019,Massachusetts,Portland,Humidity,Storm,16.41
2019,Massachusetts,Portland,Wind,Breeze,17.07
2020,Oregon,Salem,Humidity,Low,18.89
2020,Oregon,Salem,Wind,Medium,19.77
2020,Oregon,Salem,Humidity,Storm,17.78
2020,Oregon,Salem,Wind,Breeze,21.21
2022,Nevada,Las Vegas,Humidity,Low,22.65
2022,Nevada,Las Vegas,Wind,Medium,24.29
2022,Nevada,Las Vegas,Humidity,Storm,24.71
2022,Nevada,Las Vegas,Wind,Breeze,25.49
2019,Massachusetts,Reno,Humidity,Low,27.05
2019,Massachusetts,Reno,Wind,Medium,27.04
2019,Massachusetts,Reno,Humidity,Storm,24.93
2019,Massachusetts,Reno,Wind,Breeze,25.16
2020,Oregon,Boulder City,Humidity,Low,8.56
2020,Oregon,Boulder City,Wind,Medium,8.28
2020,Oregon,Boulder City,Humidity,Storm,9.23
2020,Oregon,Boulder City,Wind,Breeze,11.58
