Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Illinois,Champaign,Wind,Breeze,0.39
2015,Illinois,Champaign,Humidity,Storm,1.05
2015,Illinois,Champaign,Temperature,Calm,2.25
2015,Illinois,Champaign,Wind,Low,3.53
2015,Illinois,Champaign,Humidity,High,1.59
2015,Illinois,Champaign,Temperature,31-40,5.03
2015,Illinois,Champaign,Wind,0-10,5.61
2015,Illinois,Champaign,Humidity,21-30,2.36
2015,Illinois,Champaign,Temperature,Breeze,4.37
2017,Massachusetts,Springfield,Wind,Breeze,9.84
2017,Massachusetts,Springfield,Humidity,Storm,9.74
2017,Massachusetts,Springfield,Temperature,Calm,11.84
2017,Massachusetts,Springfield,Wind,Low,12.87
2017,Massachusetts,Springfield,Humidity,High,11.21
2017,Massachusetts,Springfield,Temperature,31-40,14.38
2017,Massachusetts,Springfield,Wind,0-10,14.58
2017,Massachusetts,Springfield,Humidity,21-30,16.96
2017,Massachusetts,Springfield,Temperature,Breeze,16.09
2021,Georgia,Cambridge,Wind,Breeze,18.41
2021,Georgia,Cambridge,Humidity,Storm,19.91
2021,Georgia,Cambridge,Temperature,Calm,14.83
2021,Georgia,Cambridge,Wind,Low,16.39
2021,Georgia,Cambridge,Humidity,High,22.54
2021,Georgia,Cambridge,Temperature,31-40,23.56
2021,Georgia,Cambridge,Wind,0-10,22.6
2021,Georgia,Cambridge,Humidity,21-30,25.37
2021,Georgia,Cambridge,Temperature,Breeze,26.32
2015,Illinois,Boston,Wind,Breeze,27.13
2015,Illinois,Boston,Humidity,Storm,22.76
2015,Illinois,Boston,Temperature,Calm,25.06
2015,Illinois,Boston,Wind,Low,24.2
2015,Illinois,Boston,Humidity,High,23.29
2015,Illinois,Boston,Temperature,31-40,26.35
2015,Illinois,Boston,Wind,0-10,24.86
2015,Illinois,Boston,Humidity,21-30,26.53
2015,Illinois,Boston,Temperature,Breeze,27.69
2017,Massachusetts,Lenox,Wind,Breeze,6.76
2017,Massachusetts,Lenox,Humidity,Storm,6.48
2017,Massachusetts,Lenox,Temperature,Calm,8.1
2017,Massachusetts,Lenox,Wind,Low,10.85
2017,Massachusetts,Lenox,Humidity,High,10.15
2017,Massachusetts,Lenox,Temperature,31-40,11.69
2017,Massachusetts,Lenox,Wind,0-10,26.77
2017,Massachusetts,Lenox,Humidity,21-30,13.17
2017,Massachusetts,Lenox,Temperature,Breeze,13.4
2021,Georgia,Albany,Wind,Breeze,13.29
2021,Georgia,Albany,Humidity,Storm,14.33
2021,Georgia,Albany,Temperature,Calm,2.2
2021,Georgia,Albany,Wind,Low,15.71
2021,Georgia,Albany,Humidity,High,15.41
2021,Georgia,Albany,Temperature,31-40,4.13
2021,Georgia,Albany,Wind,0-10,17.01
2021,Georgia,Albany,Humidity,21-30,18.01
2021,Georgia,Albany,Temperature,Breeze,6.78
2015,Illinois,Washington,Wind,Breeze,19.55
2015,Illinois,Washington,Humidity,Storm,20.81
2015,Illinois,Washington,Temperature,Calm,20.57
2015,Illinois,Washington,Wind,Low,20.62
2015,Illinois,Washington,Humidity,High,22.41
2015,Illinois,Washington,Temperature,31-40,22.08
2015,Illinois,Washington,Wind,0-10,22.61
2015,Illinois,Washington,Humidity,21-30,24.6
2015,Illinois,Washington,Temperature,Breeze,25.52
