Polluted element,Type of pollution,Florida_Chicago_2020,Florida_Springfield_2017,Florida_Tampa_2022,Illinois_Champaign_2022,Illinois_Fort Lauderdale_2017,Average
Air,Industrial,-61.52,-12.01,18.74,-34.55,-73.25,-32.52
,Inorganic Fertilizers,67.35,-15.53,9.15,90.23,-85.47,13.15
,Light,-72.44,-5.83,5.74,-9.27,42.53,-7.85
,Oxygen-depletion,4.48,-16.26,13.07,88.77,-20.62,13.89
Soil,Inferior Irrigation,-57.49,-14.00,19.75,-33.38,-72.29,-31.48
,Solid Waste,68.91,-15.11,15.36,90.03,51.04,42.05
,Surface water,-60.19,-14.04,14.40,-41.16,-15.99,-23.40
,Thermal,-66.87,-20.86,3.63,-44.10,-85.48,-42.74
Water,Chemical,-61.26,-20.86,11.69,23.59,-22.83,-13.94
,Groundwater,63.91,-27.88,5.94,-51.18,41.26,6.41
,Noise,-64.55,-18.54,8.08,-39.48,-84.33,-39.76
,Urban Activities,69.91,-13.68,16.00,-37.62,-75.56,-8.19
Average,,-14.15,-16.22,11.80,0.16,-33.42,-10.37
