Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2021,Q3,Traffic,Fatal,64.73
Male,2021,Q3,Fire,Fatal,64.0
Male,2021,Q3,Drowning,Fatal,34.52
Male,2018,Q2,Traffic,Fatal,34.57
Male,2018,Q2,Fire,Fatal,36.48
Male,2018,Q2,Drowning,Fatal,28.63
Male,2016,Q3,Traffic,Fatal,45.95
Male,2016,Q3,Fire,Fatal,79.74
Male,2016,Q3,Drowning,Fatal,47.99
Male,2021,Q2,Traffic,Fatal,28.33
Male,2021,Q2,Fire,Fatal,21.31
Male,2021,Q2,Drowning,Fatal,86.62
Male,2018,Q3,Traffic,Fatal,85.0
Male,2018,Q3,Fire,Fatal,22.37
Male,2018,Q3,Drowning,Fatal,59.1
Male,2016,Q2,Traffic,Fatal,60.77
Male,2016,Q2,Fire,Fatal,61.39
Male,2016,Q2,Drowning,Fatal,95.62
