Polluted element,Type of pollution,Illinois_Chicago,Illinois_Minneapolis,Minnesota_Champaign,Minnesota_Rochester,Average
Air,Groundwater,18.65,75.64,53.64,-30.32,29.40
,Inferior Irrigation,28.93,79.43,55.35,-23.36,35.09
,Light,-48.59,12.08,-80.75,38.36,-19.73
,Oxygen-depletion,9.41,-57.22,44.57,-34.29,-9.38
Soil,Solid Waste,-99.14,-44.65,58.29,-21.44,-26.73
,Surface water,18.89,-55.92,46.78,96.95,26.68
,Thermal,-42.51,79.79,52.38,-19.31,17.59
,Urban Activities,21.06,79.45,55.23,-23.96,32.95
Water,Chemical,12.71,73.46,-83.16,-32.92,-7.48
,Industrial,20.66,75.84,54.02,-32.69,29.46
,Inorganic Fertilizers,-99.18,81.44,-73.41,-21.02,-28.04
,Noise,19.34,-50.60,-13.89,-21.02,-16.54
Average,,-11.65,29.06,14.09,-10.42,5.27
