Quarter,Month,Culture_Apartment,Culture_Museum,Production_Factory,Production_Hotel,Residential_Concert,Residential_House,Residential_Workshop,Minimum,State,City
Q1,,32.58,79.72,64.25,13.90,93.08,3.30,44.34,3.30,,
,  February,41.85,83.21,67.31,22.32,98.19,3.30,51.42,3.30,Minnesota,Minneapolis
,  July,44.02,82.02,72.02,28.77,99.73,10.62,61.74,10.62,Minnesota,Minneapolis
,  May,32.58,79.72,64.25,13.90,93.08,4.18,44.34,4.18,Minnesota,Minneapolis
Q2,,31.70,79.79,62.15,9.13,91.63,3.54,45.68,3.54,,
,  April,39.85,81.69,65.98,20.45,92.80,6.49,50.81,6.49,Minnesota,Minneapolis
,  March,39.50,82.68,62.15,26.55,98.88,6.21,60.04,6.21,Minnesota,Minneapolis
,  September,31.70,79.79,63.81,9.13,91.63,3.54,45.68,3.54,Minnesota,Minneapolis
Q3,,29.55,72.71,62.81,8.54,91.33,1.91,45.62,1.91,,
,  January,42.94,84.09,68.48,25.61,99.40,8.47,51.49,8.47,Minnesota,Minneapolis
,  July,29.55,72.71,62.81,8.54,91.33,1.91,45.62,1.91,Minnesota,Minneapolis
,  June,39.90,79.29,65.31,15.17,94.68,3.96,49.92,3.96,Minnesota,Minneapolis
Minimum,,29.55,72.71,62.15,8.54,91.33,1.91,44.34,1.91,,
,  ,29.55,72.71,62.15,8.54,91.33,1.91,44.34,1.91,,
