Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,Medium,26.77
2020,Temperature,Low,4.82
2020,Wind,High,5.12
2020,Humidity,31-40,4.55
2020,Temperature,0-10,12.65
2020,Wind,11-20,13.94
2020,Humidity,Storm,13.29
2020,Temperature,Calm,13.97
2020,Wind,Breeze,17.02
2018,Humidity,Medium,18.66
2018,Temperature,Low,17.79
2018,Wind,High,20.43
2018,Humidity,31-40,21.95
2018,Temperature,0-10,20.18
2018,Wind,11-20,23.64
2018,Humidity,Storm,24.42
2018,Temperature,Calm,25.93
2018,Wind,Breeze,26.07
