Characteristic,Intensity,2018_Massachusetts_Lenox,2019_Massachusetts_Boston,2019_Oregon_Redmond,2020_Massachusetts_Salem,2020_Oregon_Cambridge
Humidity,11-20,26.00,9.49,3.52,2.34,18.28
,Calm,17.46,1.44,26.33,2.75,10.46
,Low,19.74,6.42,7.07,0.02,11.27
Temperature,11-20,19.04,1.85,22.06,10.38,8.25
,Breeze,19.61,3.18,26.63,1.96,13.13
,High,25.11,4.89,9.62,5.21,16.25
Wind,21-30,20.66,2.25,25.37,11.61,10.27
,Medium,26.11,8.00,9.42,18.65,17.77
,Storm,23.77,3.60,24.86,14.51,14.55
Maximum,,26.11,9.49,26.63,18.65,18.28
