Polluted element,Type of pollution,Georgia_Aberdeen_2022,Georgia_Washington_2022,Maryland_Columbia_2019,Maryland_Columbus_2019,Average
Air,Chemical,40.19,-44.20,6.39,65.22,16.90
,Industrial,51.19,-36.23,33.70,-55.85,-1.80
,Light,43.15,88.56,21.25,-57.94,23.76
,Surface water,53.99,-18.31,37.95,-46.12,6.88
Soil,Chemical,-71.44,-13.65,37.07,83.76,8.94
,Oxygen-depletion,-87.61,-42.41,6.38,-62.86,-46.62
,Thermal,44.88,-39.11,28.20,-55.25,-5.32
,Urban Activities,51.87,93.77,34.82,75.06,63.88
Water,Groundwater,41.78,84.23,18.21,-60.97,20.81
,Inferior Irrigation,46.79,-39.62,30.63,73.60,27.85
,Inorganic Fertilizers,-77.10,97.73,36.17,-50.29,1.63
,Surface water,37.97,-45.56,-0.60,64.64,14.11
